numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
4;auspol2019;STL_UnorderedMap_ScreenName;120000;9599
4;auspol2019;STL_UnorderedMap_ScreenName;130000;10303
4;auspol2019;STL_UnorderedMap_ScreenName;130449;10343
4;auspol2019;OpenHash_UserID;10000;682
4;auspol2019;OpenHash_UserID;20000;1241
4;auspol2019;OpenHash_UserID;30000;1634
4;auspol2019;OpenHash_UserID;40000;2043
4;auspol2019;OpenHash_UserID;50000;2422
4;auspol2019;OpenHash_UserID;60000;2757
4;auspol2019;OpenHash_UserID;70000;2984
4;auspol2019;OpenHash_UserID;80000;3197
4;auspol2019;OpenHash_UserID;90000;3383
4;auspol2019;OpenHash_UserID;100000;3591
4;auspol2019;OpenHash_UserID;110000;4077
4;auspol2019;OpenHash_UserID;120000;4432
4;auspol2019;OpenHash_UserID;130000;4723
4;auspol2019;OpenHash_UserID;130449;4744
4;auspol2019;OpenHash_ScreenName;10000;1722
4;auspol2019;OpenHash_ScreenName;20000;3382
4;auspol2019;OpenHash_ScreenName;30000;4925
4;auspol2019;OpenHash_ScreenName;40000;6388
4;auspol2019;OpenHash_ScreenName;50000;7754
4;auspol2019;OpenHash_ScreenName;60000;9110
4;auspol2019;OpenHash_ScreenName;70000;10211
4;auspol2019;OpenHash_ScreenName;80000;11330
4;auspol2019;OpenHash_ScreenName;90000;12371
4;auspol2019;OpenHash_ScreenName;100000;13427
4;auspol2019;OpenHash_ScreenName;110000;14801
4;auspol2019;OpenHash_ScreenName;120000;16038
4;auspol2019;OpenHash_ScreenName;130000;17222
4;auspol2019;OpenHash_ScreenName;130449;17297
4;auspol2019;ClosedHash_Linear_UserID;10000;114
4;auspol2019;ClosedHash_Linear_UserID;20000;252
4;auspol2019;ClosedHash_Linear_UserID;30000;390
4;auspol2019;ClosedHash_Linear_UserID;40000;527
4;auspol2019;ClosedHash_Linear_UserID;50000;662
4;auspol2019;ClosedHash_Linear_UserID;60000;792
4;auspol2019;ClosedHash_Linear_UserID;70000;903
